trip_id;duration_in_seconds;start_time;end_time;starting_station_id;starting_station_latitude;starting_station_longitude;ending_station_id;ending_station_latitude;ending_station_longitude;bike_id;trip_route_category;passholder_type;kilometers_travelled;battery_level_at_start;battery_level_at_the_end;maximum_speed;minimum_speed;average_speed;new_user;damaged_bike;zip_codes;subscription_plan_duration
18222186;15060;19/01/2017 17:05;19/01/2017 21:16;3031;34.044701;-118.252441;3000;0;0;5944;One Way;Walk-up;1315;63;35;793;227;60;False;True;0;0
20444932;86400;18/02/2017 10:15;20/02/2017 15:20;3026;0;0;3000;0;0;5879;One Way;Walk-up;1161;49;88;602;185;76;True;False;0;30
20905031;18840;27/02/2017 12:26;27/02/2017 17:40;3023;34.063179;-118.24588;3000;0;0;6056;One Way;Walk-up;925;91;38;752;233;985;True;False;0;0
21031476;86400;27/02/2017 20:26;01/03/2017 9:49;3008;34.050911;-118.240967;3000;0;0;6054;One Way;Flex Pass;2186;95;32;1083;444;674;False;True;0;0
21784648;14760;10/03/2017 17:38;10/03/2017 21:44;3065;34.046612;-118.262733;3000;0;0;5923;One Way;Walk-up;179;79;39;1016;393;914;True;False;0;365
22506739;79020;17/03/2017 19:20;18/03/2017 17:17;3063;0;0;3000;0;0;5810;One Way;Walk-up;1465;96;46;1493;103;577;False;False;0;
20889067;86400;26/02/2017 12:18;27/02/2017 12:36;3062;34.060558;-118.238327;3000;0;0;5951;One Way;Walk-up;231;52;95;147;152;697;False;False;0;0
18481915;600;23/01/2017 18:48;23/01/2017 18:58;3082;34.049198;-118.252831;3000;0;0;6492;One Way;Monthly Pass;1341;80;14;1342;391;612;False;True;0;0
19858915;56100;11/02/2017 16:59;12/02/2017 8:34;3036;34.047749;-118.243172;3000;0;0;6357;One Way;Monthly Pass;101;85;99;788;28;904;True;False;0;0
19403230;480;05/02/2017 9:43;05/02/2017 9:51;3064;34.04652;-118.237411;3000;0;0;6478;One Way;Monthly Pass;1233;82;53;1433;4;563;True;True;0;30
18732968;480;27/01/2017 19:55;27/01/2017 20:03;3063;34.039188;-118.232529;3000;0;0;6681;One Way;Monthly Pass;2684;21;85;685;237;507;False;True;0;
20298819;780;18/02/2017 12:39;18/02/2017 12:52;3014;34.04681;-118.256981;3000;0;0;6523;One Way;Flex Pass;821;90;16;701;32;925;False;True;0;30
